============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.14-s037_1
  Generated on:           Jun 02 2026  02:06:35 am
  Module:                 top_ti
  Technology libraries:   saed14rvt_tt0p8v25c 
                          saed14rvt_ss0p72v25c 
                          saed14rvt_ff0p88v25c 
  Operating conditions:   _nominal_ (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

         Instance                               Module                         Cells  Cell Area  Net Area   Total Area  Wireload     
-------------------------------------------------------------------------------------------------------------------------------------
top_ti                                                                       5591114    2862977         0      2862977    <none> (D) 
    gen_tile[393].u_tile  compute_core_ti_393                                   5318       2706         0         2706    <none> (D) 
    gen_tile[974].u_tile  compute_core_ti_974                                   5311       2706         0         2706    <none> (D) 
    gen_tile[131].u_tile  compute_core_ti_131                                   5311       2706         0         2706    <none> (D) 
    gen_tile[165].u_tile  compute_core_ti_165                                   5311       2706         0         2706    <none> (D) 
    gen_tile[893].u_tile  compute_core_ti_893                                   5308       2706         0         2706    <none> (D) 
    gen_tile[282].u_tile  compute_core_ti_282                                   5311       2706         0         2706    <none> (D) 
    gen_tile[847].u_tile  compute_core_ti_847                                   5308       2706         0         2706    <none> (D) 
    gen_tile[902].u_tile  compute_core_ti_902                                   5308       2706         0         2706    <none> (D) 
    gen_tile[627].u_tile  compute_core_ti_627                                   5310       2706         0         2706    <none> (D) 
    gen_tile[160].u_tile  compute_core_ti_160                                   5311       2706         0         2706    <none> (D) 
    gen_tile[563].u_tile  compute_core_ti_563                                   5308       2706         0         2706    <none> (D) 
    gen_tile[527].u_tile  compute_core_ti_527                                   5311       2706         0         2706    <none> (D) 
    gen_tile[528].u_tile  compute_core_ti_528                                   5311       2706         0         2706    <none> (D) 
    gen_tile[882].u_tile  compute_core_ti_882                                   5311       2706         0         2706    <none> (D) 
    gen_tile[818].u_tile  compute_core_ti_818                                   5311       2706         0         2706    <none> (D) 
    gen_tile[211].u_tile  compute_core_ti_211                                   5310       2706         0         2706    <none> (D) 
    gen_tile[663].u_tile  compute_core_ti_663                                   5328       2706         0         2706    <none> (D) 
    gen_tile[883].u_tile  compute_core_ti_883                                   5310       2706         0         2706    <none> (D) 
    gen_tile[69].u_tile   compute_core_ti_69                                    5312       2706         0         2706    <none> (D) 
    gen_tile[100].u_tile  compute_core_ti_100                                   5312       2706         0         2706    <none> (D) 
    gen_tile[822].u_tile  compute_core_ti_822                                   5311       2706         0         2706    <none> (D) 
    gen_tile[24].u_tile   compute_core_ti_24                                    5323       2706         0         2706    <none> (D) 
    gen_tile[286].u_tile  compute_core_ti_286                                   5311       2706         0         2706    <none> (D) 
    gen_tile[350].u_tile  compute_core_ti_350                                   5311       2706         0         2706    <none> (D) 
    gen_tile[341].u_tile  compute_core_ti_341                                   5311       2706         0         2706    <none> (D) 
    gen_tile[346].u_tile  compute_core_ti_346                                   5311       2706         0         2706    <none> (D) 
    gen_tile[980].u_tile  compute_core_ti_980                                   5311       2706         0         2706    <none> (D) 
    gen_tile[845].u_tile  compute_core_ti_845                                   5311       2706         0         2706    <none> (D) 
    gen_tile[197].u_tile  compute_core_ti_197                                   5311       2706         0         2706    <none> (D) 
    gen_tile[423].u_tile  compute_core_ti_423                                   5308       2706         0         2706    <none> (D) 
    gen_tile[722].u_tile  compute_core_ti_722                                   5308       2706         0         2706    <none> (D) 
    gen_tile[738].u_tile  compute_core_ti_738                                   5308       2706         0         2706    <none> (D) 
    gen_tile[770].u_tile  compute_core_ti_770                                   5308       2706         0         2706    <none> (D) 
    gen_tile[546].u_tile  compute_core_ti_546                                   5308       2706         0         2706    <none> (D) 
    gen_tile[176].u_tile  compute_core_ti_176                                   5308       2706         0         2706    <none> (D) 
    gen_tile[916].u_tile  compute_core_ti_916                                   5308       2706         0         2706    <none> (D) 
    gen_tile[660].u_tile  compute_core_ti_660                                   5324       2706         0         2706    <none> (D) 
    gen_tile[708].u_tile  compute_core_ti_708                                   5308       2706         0         2706    <none> (D) 
    gen_tile[485].u_tile  compute_core_ti_485                                   5310       2706         0         2706    <none> (D) 
